Title,Genres,Actors,Directors,Synopsis,Rating
The Help,Drama,"Emma Stone, Viola Davis, Bryce Dallas Howard",Tate Taylor,"Aibileen Clark is a middle-aged African-American maid who has spent her life raising white children and has recently lost her only son; Minny Jackson is an African-American maid who has often offended her employers despite her family's struggles with money and her desperate need for jobs; and Eugenia ""Skeeter"" Phelan is a young white woman who has recently moved back home after graduating college to find out her childhood maid has mysteriously disappeared. These three stories intertwine to explain how life in Jackson, Mississippi revolves around ""the help""; yet they are always kept at a certain distance because of racial lines.",8.207
Desmontando a Lucía,"Comedy, Drama","Susana Abaitua, Hugo Silva, Julián Villagrán",Alberto Utrera,"Lucía is arrested while driving her boyfriend Héctor's car at 200 km/h, dazed and bloody. She was sharing a weekend at the beach with him and Elena, her best friend. Now they are both missing and Lucía only remembers a “little” argument that ended with a bottle broken on Héctor’s head, but that’s all. This complicates Simon’s life. A private investigator? No. , thank you. Simon prefers to consider himself a simple “judicial expert”. When his partner Oliver, a lawyer with financial problems due to gambling, asks him to investigate Lucía and the disappearances, Simon does not know that he is about to take the Expertise on another level. Obsessed with Bogart's film noir, Simón will go beyond all limits when he falls in love with Lucía, the amnesiac suspect in the murder he is investigating.",5.0
Seven Veils,Drama,"Amanda Seyfried, Rebecca Liddiard, Douglas Smith",Atom Egoyan,"Jeanine, an earnest theatre director, has been given the task of remounting her former mentor’s most famous work, the opera Salome. Haunted by dark and disturbing memories from her past, she allows her repressed trauma to color the present as she re-enters the opera world after so many years away.",6.8
Wallace & Gromit: Vengeance Most Fowl,"Animation, Comedy, Family, Adventure","Ben Whitehead, Peter Kay, Lauren Patel","Nick Park, Merlin Crossingham","Gromit’s concern that Wallace is becoming too dependent on his inventions proves justified, when Wallace invents a “smart” gnome that seems to develop a mind of its own. When it emerges that a vengeful figure from the past might be masterminding things, it falls to Gromit to battle sinister forces and save his master… or Wallace may never be able to invent again!",7.6
"María, ¡Me muero!",Comedy,"Natalia Téllez, Ricardo Fastlicht, José Sefami",Gabriela Sobarzo,"“Maria, I'm dying!” is a comedy about a hypochondriac man, the only being in the world capable of even terminal colds, and his wife who has to put up with it until he decides to do something about it. The fear of death has never been so fun.",6.5
Parasite,"Comedy, Thriller, Drama","Song Kang-ho, Lee Sun-kyun, Cho Yeo-jeong",Bong Joon Ho,"All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.",8.5
The Assessment,"Science Fiction, Drama, Thriller","Alicia Vikander, Elizabeth Olsen, Himesh Patel",Fleur Fortuné,"In a climate change-ravaged world, a utopian society optimizes life, including parenthood assessments. A successful couple faces scrutiny by an evaluator over seven days to determine their fitness for childbearing.",7.3
Skin. Like. Sun.,Romance,"Wim van Damme, Floor Wyns","Jennifer Lyon Bell, Murielle Scherre","Real-life young couple Wim and Floor spend an afternoon in the sunwashed rooms of a crumbling home in Belgium. In a unique twist, this artistic erotic documentary is edited in nearly real-time. In the slowness, we get the build, the sweetness, and the sexiness. Forget about fingersnapping fast editing. Slow is where it’s at.",5.793
The Lord of the Rings: The Fellowship of the Ring,"Adventure, Fantasy, Action","Elijah Wood, Ian McKellen, Viggo Mortensen",Peter Jackson,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",8.418
404 Run Run,"Comedy, Horror","Chantavit Dhanasevi, Kanyawee Songmuang, Pittaya Saechua",Pichaya Jarusboonpracha,"Nakrob, a young real estate swindler, discovers an abandoned hillside hotel by the beach. Seeing an opportunity, he decides to turn it into a luxury hotel scam.",6.9
Transformers One,"Animation, Science Fiction, Adventure, Family","Chris Hemsworth, Brian Tyree Henry, Scarlett Johansson",Josh Cooley,"The untold origin story of Optimus Prime and Megatron, better known as sworn enemies, but once were friends bonded like brothers who changed the fate of Cybertron forever.",8.091
Le Clitoris,"Animation, Documentary",Lori Malépart-Traversy,Lori Malépart-Traversy,"Women are lucky, they get to have the only organ in the human body dedicated exclusively for pleasure: the clitoris! In this humorous and instructive animated documentary, find out its unrecognized anatomy and its unknown herstory.",6.8
Dhoom Dhaam,"Comedy, Romance, Action","Yami Gautam, Pratik Gandhi, Eijaz Khan",Rishab Seth,"On their wedding night, an oddball couple is thrust into a chaotic chase, dodging goons and cops in a frenzied hunt for the mysterious ""Charlie.""",6.6
Hotel Desire,"Drama, Romance","Saralisa Volm, Clemens Schick, Jan-Gregor Kremp",Sergej Moya,"Antonia is a single mother who works as a hotel maid in Berlin. A normal hot summer day takes a dramatic turn when she crosses paths with a particular guest of the hotel, famous blind portrait painter Julius Pass.",6.0
Wolf Man,"Horror, Thriller","Christopher Abbott, Julia Garner, Matilda Firth",Leigh Whannell,"With his marriage fraying, Blake persuades his wife Charlotte to take a break from the city and visit his remote childhood home in rural Oregon. As they arrive at the farmhouse in the dead of night, they're attacked by an unseen animal and barricade themselves inside the home as the creature prowls the perimeter. But as the night stretches on, Blake begins to behave strangely, transforming into something unrecognizable.",6.4
The Lord of the Rings: The Return of the King,"Adventure, Fantasy, Action","Elijah Wood, Ian McKellen, Viggo Mortensen",Peter Jackson,"As armies mass for a final battle that will decide the fate of the world--and powerful, ancient forces of Light and Dark compete to determine the outcome--one member of the Fellowship of the Ring is revealed as the noble heir to the throne of the Kings of Men. Yet, the sole hope for triumph over evil lies with a brave hobbit, Frodo, who, accompanied by his loyal friend Sam and the hideous, wretched Gollum, ventures deep into the very dark heart of Mordor on his seemingly impossible quest to destroy the Ring of Power.​",8.482
